Designação da instituição,Distrito,Concelho,Modalidade Desportiva,Federação Desportiva,Variante,Edição,Homens,Mulheres
Agrupamento de Escolas de Apúlia,Braga,Esposende,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,17,18
Agrupamento de Escolas de Argoncilhe,Aveiro,Santa Maria da Feira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,125,101
Agrupamento de Escolas de Arouca,Aveiro,Arouca,FPDD_FPDD,FPDD,FPDD,2012 / 2013,5,1
Agrupamento de Escolas de Arrifana - Escapães,Aveiro,Santa Maria da Feira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,156,144
Agrupamento de Escolas de Avanca Professor Dr. Egas Moniz,Aveiro,Estarreja,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,4,4
Agrupamento de Escolas de Avintes,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,5,5
Agrupamento de Escolas de Beiriz,Porto,Póvoa de Varzim,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,210,182
Agrupamento de Escolas de Búzio,Aveiro,Oliveira de Azeméis,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,70,56
Agrupamento de Escolas de Canedo,Aveiro,Santa Maria da Feira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,57,59
Agrupamento de Escolas de Canelas,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,24,22
Agrupamento de Escolas de Castro Verde - Escola EB 23 de Castro Verde,Beja,Castro Verde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,64,61
Agrupamento de Escolas de Castro Verde - Escola EB1 de Casevel,Beja,Castro Verde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,4,4
Agrupamento de Escolas de Castro Verde - Escola EB1 de Castro Verde,Beja,Castro Verde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,35,41
Agrupamento de Escolas de Castro Verde - Escola EB1 de Entradas,Beja,Castro Verde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,6
Agrupamento de Escolas de Castro Verde - Escola EB1 de S. Marcos,Beja,Castro Verde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,3
Agrupamento de Escolas de Castro Verde - Escola EB1 de Santa Bárbara,Beja,Castro Verde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,4,3
Agrupamento de Escolas de Castro Verde - Escola Secundária de Castro Verde,Beja,Castro Verde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,10,19
Agrupamento de Escolas de Celorico de Basto - Escola Básica de Mota,Braga,Celorico de Basto,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,31,31
Agrupamento de Escolas de Eiriz,Porto,Baião,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,107,93
Agrupamento de Escolas de Felgueiras,Porto,Felgueiras,Voleibol_Voleibol,Voleibol,Voleibol,s/d,0,0
Agrupamento de Escolas de Fiães,Aveiro,Santa Maria da Feira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,118,106
Agrupamento de Escolas de Figueira de Castelo Rodrigo,Guarda,Figueira de Castelo Rodrigo,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,14,21
Agrupamento de Escolas de Gondifelos,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,38,42
Agrupamento de Escolas de Gueifães,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,45,48
Agrupamento de Escolas de Gueifaes - Escola EB1 de Gueifães,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,29,22
Agrupamento de Escolas de Guilherme Stephens,Leiria,Marinha Grande,Patinagem_Patinagem Velocidade,Patinagem,Patinagem Velocidade,2012 / 2013,21,20
Agrupamento de Escolas de Lobão,Aveiro,Santa Maria da Feira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,83,58
Agrupamento de Escolas de Lourosa,Aveiro,Santa Maria da Feira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,40,51
Agrupamento de Escolas de Mangualde,Viseu,Mangualde,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,0,26
Agrupamento de Escolas de Mangualde,Viseu,Mangualde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,44,64
Agrupamento de Escolas de Mêda,Guarda,Mêda,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,24,21
Agrupamento de Escolas de Mogadouro,Bragança,Mogadouro,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,12,9
Agrupamento de Escolas de Odemira,Beja,Odemira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,16,14
Agrupamento de Escolas de Oliveira do Douro,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,6,6
Agrupamento de Escolas de Oliveira do Hospital - Escola Secundária de Oliveira do Hospital,Coimbra,Oliveira do Hospital,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,1,3
Agrupamento de Escolas de Ourique,Beja,Ourique,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,7
Agrupamento de Escolas de Paços de Brandão,Aveiro,Santa Maria da Feira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,103,99
Agrupamento de Escolas de Pedome - EB1 de Casas,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,13,7
Agrupamento de Escolas de Pedome - EB1 de Mosteiro,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,19,10
Agrupamento de Escolas de Pedome - EB1 de Pedome,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,11,2
Agrupamento de Escolas de Pedome - Escola Básica Integrada de Pedome,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,13
Agrupamento de Escolas de Pedrouços - Escola EB1 de Enxurreiras,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,18,20
Agrupamento de Escolas de Pedrouços - Escola EB1 de Giesta,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,24,23
Agrupamento de Escolas de Pedrouços - Escola EB1 de Paço,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,11,20
Agrupamento de Escolas de Pedrouços - Escola EB1 de Parada,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,10,7
Agrupamento de Escolas de Pedrouços (Maia),Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,18,25
Agrupamento de Escolas de Peniche - Escola Nº3,Leiria,Peniche,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,16,19
Agrupamento de Escolas de Peniche - Escola Nº5,Leiria,Peniche,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,22,14
Agrupamento de Escolas de Peniche - Escola Sede,Leiria,Peniche,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,25,20
Agrupamento de Escolas de Ribeira de Pena,Vila Real,Ribeira de Pena,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,22,7
Agrupamento de Escolas de Santa Marinha,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,5,8
Agrupamento de Escolas de Santiago do Cacém,Setúbal,Santiago do Cacém,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,120,121
Agrupamento de Escolas de São Teotónio,Beja,Odemira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,68,74
Agrupamento de Escolas de São Tomé de Negrelos,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,6
Agrupamento de Escolas de Tabosa - Pedroso,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,5,6
Agrupamento de Escolas de Teijoso - Escola EB1 de Orjais,Castelo Branco,Covilhã,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,6,9
Agrupamento de Escolas de Teixoso - Escola EB1 de Teixoso,Castelo Branco,Covilhã,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,30,37
Agrupamento de Escolas de Teixoso - Escola EB1 de Vale Formoso,Castelo Branco,Covilhã,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,13,11
Agrupamento de Escolas de Teixoso - Escola EB1 de Verdelhos,Castelo Branco,Covilhã,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,11,13
Agrupamento de Escolas de Trancoso,Guarda,Trancoso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,30,34
Agrupamento de Escolas de Valadares,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,6,9
Agrupamento de Escolas de Vieira de Leiria,Leiria,Leiria,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,163,154
Agrupamento de Escolas de Vila Nova de Paiva,Viseu,Vila Nova de Paiva,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,13
Agrupamento de Escolas do Castêlo da Maia - Escola EB1 de Bajouca,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,11,11
Agrupamento de Escolas do Castêlo da Maia - Escola EB1 de Ferreiró,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,13,11
Agrupamento de Escolas do Castêlo da Maia - Escola EB1 de Ferronho,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,38,22
Agrupamento de Escolas do Castêlo da Maia - Escola EB1 de Gestalinho,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,22,24
Agrupamento de Escolas do Castêlo da Maia - Escola EB1 de Mandim,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,16,11
Agrupamento de Escolas do Castêlo da Maia - Escola EB1 de Porto Bom,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,13,27
Agrupamento de Escolas do Castêlo da Maia - Escola EB1 de Santa Cruz,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,12
Agrupamento de Escolas do Castêlo da Maia - Escola EB1 de Seara,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,15,12
Agrupamento de Escolas do Cerco,Porto,Porto,Ginástica_Ginástica Acrobática,Ginástica,Ginástica Acrobática,2012 / 2013,1,1
Agrupamento de Escolas do Cerco,Porto,Porto,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,1,15
Agrupamento de Escolas do Levante da Maia - Escola EB1 de Arcos,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,28,8
Agrupamento de Escolas do Levante da Maia - Escola EB1 de Cristal,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,6
Agrupamento de Escolas do Levante da Maia - Escola EB1 de Folgosa,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,10,10
Agrupamento de Escolas do Levante da Maia - Escola EB1 de Frejufe,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,14,17
Agrupamento de Escolas do Levante da Maia - Escola EB1 de Monte Cruzes,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,13,11
Agrupamento de Escolas do Levante da Maia - Escola EB1 de Monte do Calvário,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,26,34
Agrupamento de Escolas do Levante da Maia - Escola EB1 de Vilar da Luz,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,3
Agrupamento de Escolas do Olival,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,19,18
Agrupamento de Escolas do Pêro da Covilhã,Castelo Branco,Covilhã,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,18,0
Agrupamento de Escolas do Pinheiro - Escola EB1 de Prazo - Pinheiro,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,332,258
Agrupamento de Escolas do Pinheiro - Escola EB1 de Torre - Pinheiro,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,34,24
Agrupamento de Escolas do Sabugal,Guarda,Sabugal,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,1,2
Agrupamento de Escolas do Sudeste de Baião,Porto,Baião,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,104,104
Agrupamento de Escolas Dona Filipa de Lencastre,Lisboa,Lisboa,Esgrima_Esgrima,Esgrima,Esgrima,2012 / 2013,3,6
Agrupamento de Escolas Dona Filipa de Lencastre,Lisboa,Lisboa,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,32,17
Agrupamento de Escolas Dr. Costa Matos,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,9,11
Agrupamento de Escolas Dr. Vieira de Carvalho - Escola EB1 de Crestins,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,20,25
Agrupamento de Escolas Dr. Vieira de Carvalho - Escola EB1 de Lidador,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,22,23
Agrupamento de Escolas Dr. Vieira de Carvalho - Escola EB1 de Pedras Rubras,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,16,14
Agrupamento de Escolas Fernando Pessoa,Aveiro,Santa Maria da Feira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,57,69
Agrupamento de Escolas Ferreira Almeida,Aveiro,Santa Maria da Feira,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,56,62
Agrupamento de Escolas Gonçalo Mendes da Maia - Escola EB1 D. Manuel I,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,30,38
Agrupamento de Escolas Gonçalo Mendes da Maia - Escola EB1 da Maia,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,114,100
Agrupamento de Escolas Gonçalo Mendes da Maia - Escola EB1 de Cidade Jardim,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,22,15
Agrupamento de Escolas Gonçalo Mendes da Maia - Escola EB1 de Currais,Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,35,40
Agrupamento de Escolas Gonçalo Mendes da Maia (Maia),Porto,Maia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,46,14
Agrupamento de Escolas Gonçalo Nunes,Braga,Barcelos,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,19,11
Agrupamento de Escolas Gonçalo Sampaio,Braga,Póvoa de Lanhoso,FPDD_FPDD,FPDD,FPDD,2012 / 2013,7,6
Agrupamento de Escolas Gonçalo Sampaio,Braga,Póvoa de Lanhoso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,5,8
Agrupamento de Escolas Infante D. Pedro,Coimbra,Penela,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,40,51
Agrupamento de Escolas Julio Dinis,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,10,7
Agrupamento de Escolas Latino Coelho - Centro Escolar Lamego Sul - Ordens,Viseu,Lamego,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,13,12
Agrupamento de Escolas Latino Coelho - Escola EB 23 de Lamego,Viseu,Lamego,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,22,56
Agrupamento de Escolas Latino Coelho - Escola EB1 de Cambres,Viseu,Lamego,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,4,6
Agrupamento de Escolas N.º 4 de Évora,Évora,Évora,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,42,13
Agrupamento de Escolas Pedro Eanes Lobato,Setúbal,Seixal,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,68
Agrupamento de Escolas Poeta Joaquim Serra,Setúbal,Montijo,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,6
Agrupamento de Escolas Ribeiro Sanches - Escola EB1 de Penamacor,Castelo Branco,Penamacor,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,5
Agrupamento de Escolas Ribeiro Sanches - Escola EB1 Ribeiro Sanches,Castelo Branco,Penamacor,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,4
Agrupamento de Escolas Sá Couto,Aveiro,Espinho,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,74,66
Agrupamento de Escolas Soares dos Reis,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,4
Agrupamento de Escolas Sofia Melo Breyner,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,23,9
Agrupamento de Tortosendo - Escola EB1 de Corte do Meio,Castelo Branco,Covilhã,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,5,3
Agrupamento de Tortosendo - Escola EB1 de Largo da Feira,Castelo Branco,Covilhã,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,9,7
Agrupamento de Tortosendo - Escola EB1 de Montes Herminios,Castelo Branco,Covilhã,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,12,17
Agrupamento de Tortosendo - Escola EB1 de Vales do Rio,Castelo Branco,Covilhã,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,4
Agrupamento Escolar Latino Coelho - Centro Escolar de Lamego,Viseu,Lamego,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,22,17
Agrupamento Vertical das Escolas de Avis,Portalegre,Avis,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,23,32
Agrupamento Vertical de Escolas da Amareleja,Beja,Moura,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,19,0
Agrupamento Vertical de Escolas de Vinhais,Bragança,Vinhais,Andebol_Andebol,Andebol,Andebol,2012 / 2013,20,24
Agrupamento Vertical de Escolas do Território Educativo de Coura,Viana do Castelo,Paredes de Coura,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,87,79
Agrupamento Vertical de Ponte de Sôr - Escola EB 23 João Pedro Andrade,Portalegre,Ponte de Sor,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,74,90
Agrupamento Vertical de Ponte de Sôr - Escola EB1 de Tramagal,Portalegre,Ponte de Sor,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,4
Agrupamento Vertical de Ponte de Sôr - Escola EB1 de Vale de Açor,Portalegre,Ponte de Sor,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,0
Agrupamento Vertical de Ponte de Sôr - Escola Longomel,Portalegre,Ponte de Sor,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,0
Agrupamentos de Escolas de Satão,Viseu,Sátão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,39,30
Água Travessa Futebol Clube,Santarém,Abrantes,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,1,0
Águas Bravas Clube,Porto,Amarante,Canoagem_Canoagem,Canoagem,Canoagem,2012 / 2013,40,11
Águeda Andebol Clube,Aveiro,Águeda,Andebol_Andebol,Andebol,Andebol,2012 / 2013,40,0
Águia Clube Desportivo,Açores,Ponta Delgada,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,6,0
Águia Clube Desportivo,Açores,Ponta Delgada,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,99,0
Águia Clube Desportivo,Açores,Ponta Delgada,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,69,1
Águia Futebol Club de Vimioso,Bragança,Vimioso,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,56,0
Águia Futebol Club de Vimioso,Bragança,Vimioso,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,22,0
Águia Futebol Club de Vimioso,Bragança,Vimioso,Futebol_Futsal,Futebol,Futsal,2012 / 2013,14,0
Águias Negras Futebol Clube,Setúbal,Montijo,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,23,0
Airães a Pedalar Associação,Porto,Felgueiras,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,14,0
AJES - Associação Juvenil de Estremoz,Évora,Estremoz,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,11,3
AJES - Associação Juvenil de Estremoz,Évora,Estremoz,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,34,7
AJES - Associação Juvenil de Estremoz,Évora,Estremoz,Futebol_Futsal,Futebol,Futsal,2012 / 2013,14,0
Ajuda Clube,Lisboa,Lisboa,Kickboxing e Muaythai_Kickboxing e Muaythai,Kickboxing e Muaythai,Kickboxing e Muaythai,2012 / 2013,28,6
Ala de Nun'Álvares de Gondomar,Porto,Gondomar,Ténis de Mesa_Ténis de Mesa,Ténis de Mesa,Ténis de Mesa,2012 / 2013,22,18
Ala de Nun'Álvares de Gondomar,Porto,Gondomar,Ténis_Ténis,Ténis,Ténis,2012 / 2013,76,14
Ala de Nun'Álvares de Gondomar,Porto,Gondomar,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,104,142
Alavarium - Andebol Clube de Aveiro,Aveiro,Aveiro,Andebol_Andebol,Andebol,Andebol,2012 / 2013,69,90
Albi Sport Clube,Castelo Branco,Castelo Branco,Ténis_Ténis,Ténis,Ténis,2012 / 2013,32,3
ALBIGYM - Associação Juvenil Gimnodesportiva e Cultural Magda Rocha,Castelo Branco,Castelo Branco,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,9,79
Albufeira Futsal Clube,Faro,Albufeira,Futebol_Futsal,Futebol,Futsal,2012 / 2013,47,17
Alcáçovas Atlético Clube,Évora,Viana do Alentejo,Futebol_Futsal,Futebol,Futsal,2012 / 2013,34,0
Alcaínça Atlético Clube,Lisboa,Mafra,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,85,0
Alcaínça Atlético Clube,Lisboa,Mafra,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,18,0
Alcobaça Clube de Ciclismo,Leiria,Alcobaça,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,15,2
Alcobertas Futebol Clube,Santarém,Rio Maior,Judo_Judo,Judo,Judo,2012 / 2013,1,0
Aldeense Futebol Clube,Évora,Redondo,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,26,0
Aldegalense Andebol Clube,Setúbal,Montijo,Andebol_Andebol,Andebol,Andebol,2012 / 2013,17,0
Aldeia Hípica Fonte Caspolina,Lisboa,Oeiras,Equestre_Equestre,Equestre,Equestre,2012 / 2013,1,3
Alenquer Basket Clube,Lisboa,Alenquer,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,42,38
Alfa Académico Clube,Porto,Matosinhos,Futebol_Futsal,Futebol,Futsal,2012 / 2013,98,0
Algarcalcio Futebol Clube,Faro,Loulé,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,16,0
Algarve Surf Clube,Faro,Vila do Bispo,Surf_Surf,Surf,Surf,2012 / 2013,13,1
Algarve United Futebol SAD,Faro,Loulé,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,33,0
Alhandra Futebol Club,Lisboa,Vila Franca de Xira,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,88,0
Alhandra Futebol Club,Lisboa,Vila Franca de Xira,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,17,0
Alhandra Futebol Club,Lisboa,Vila Franca de Xira,Futebol_Futsal,Futebol,Futsal,2012 / 2013,0,11
Alhandra Sporting Club,Lisboa,Vila Franca de Xira,Canoagem_Canoagem,Canoagem,Canoagem,2012 / 2013,34,5
Alhandra Sporting Club,Lisboa,Vila Franca de Xira,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,6,6
Alhandra Sporting Club,Lisboa,Vila Franca de Xira,Triatlo_Triatlo,Triatlo,Triatlo,2012 / 2013,46,32
Alhandra Sporting Club,Lisboa,Vila Franca de Xira,Vela_Vela,Vela,Vela,2012 / 2013,20,2
Aliados Futebol Clube de Lordelo,Porto,Paredes,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,131,0
Aliados Futebol Clube de Lordelo,Porto,Paredes,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,26,0
Aliança Futebol Clube de Gandra,Porto,Paredes,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,141,0
Aliança Futebol Clube de Gandra,Porto,Paredes,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,23,0
Alkimia da Dança - Taekwondo Dragão do Norte,Porto,Porto,Taekwondo_Taekwondo,Taekwondo,Taekwondo,2012 / 2013,23,4
Almada Atlético Clube,Setúbal,Almada,Andebol_Andebol,Andebol,Andebol,2012 / 2013,67,1
Almada Atlético Clube,Setúbal,Almada,Damas_Damas,Damas,Damas,s/d,0,0
Almada Atlético Clube,Setúbal,Almada,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,163,0
Almada Atlético Clube,Setúbal,Almada,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,144,0
Almada Atlético Clube,Setúbal,Almada,Futebol_Futsal,Futebol,Futsal,2012 / 2013,17,0
Almansor Futebol Clube,Évora,Montemor-o-Novo,Futebol_Futsal,Futebol,Futsal,2012 / 2013,15,17
Almansor Futebol Clube,Évora,Montemor-o-Novo,Ténis de Mesa_Ténis de Mesa,Ténis de Mesa,Ténis de Mesa,2012 / 2013,3,0
Almeida Municipia - Gestão de Equipamentos Sociais e Desportivos Empresa Municipal,Guarda,Almeida,Andebol_Andebol,Andebol,Andebol,2012 / 2013,27,5
